ItemCode,ItemName,UoMGroupEntry,InventoryUoMEntry
ME3945,,2,3
EL1405,,-1,-1
EL00684,,3,4
EL1651,,-1,-1
EL1652,,-1,-1
EL1630,,-1,-1
ME3511,,2,3
ME3216,,2,3
FL00988,,9,10
EL1138,,-1,-1
ME3680,,3,4
OT2754,,3,4
EL1535,,-1,-1
ME3809,,2,3
ME3818,,2,3
EL1669,,-1,-1
EL1663,,-1,-1
AR00100,(DO NOT USE) Nitrogen Gas Cylinder,2,3
AR00104,(DO NOT USE) Oxygen Gas Cylinder Full,2,3
EL1366,*,-1,-1
EL1260,*,-1,-1
ME2674,1 1/4 Inch BSW HEX NUT (M.S.),2,3
ME2675,1 Inch BSW HEX NUT (HIGH TENSILE),2,3
ME2676,1 Inch BSW X 3 Inch LONG M.S. HEXBOLT FULL THREADED (HIGH TENSILE),2,3
EL00309,100 MFD EPOXT FILLED CAPACITOR BLACK 900 VDC 90ARMS,2,3
OT2833,"12000 KW/200 HZ,24 PULSE,VIP POWER TRAK HIGH EFFICIENCY",4,5
EL1208,"13500 KVA,33KV,575V X 4 TRANSFORMER",2,3
ME3258,15 TON CAPACITY DOUBLE GIRDER EOT CRANES,3,4
ME01181,160 MM DIA. BRAKE DRUM FOR CT OF 25/10 TON,3,4
ME01182,160 MM DIA. BRAKE DRUM WITH PILOT BORE FOR CT OF 15 TON & 10 TON CRANE,3,4
ME01183,20 MM TO 12 MMBUTT WELDABLE CONCENTRIC REDUCER MOC-CS,3,4
ME01184,200 MM DIA. BRAKE DRUM WITH PILOT BORE FOR CT & LT OF 75/25 TON & LT 25/10 TON CRANE,3,4
ME01185,200 MM DIA. BRAKE DRUM WITH PILOT BORE FOR LT OF 15 TON & 10 TON CRANE,3,4
ME3701,25/10 TON UNIVERSAL JOINT FOR LT ASSEMBLY,3,4
ME01187,250 MM DIA. BRAKE DRUM FOR MH MICRO OF 75/25 TON CRANE,3,4
ME01188,250 MM DIA. BRAKE DRUM FOR MH OF 10 TON,3,4
EL00310,3 PIN TOP 16 AMP.,2,3
EL00311,3 PIN TOP 6 A,2,3
ME3317,3-ARM LINING VIBRATOR FOR INDUCTION FURNACE,4,5
EL1093,3-BOLTED PG CLAMP FOR DOG ACSR CONDUCTOR,2,3
EL1347,"3-PHASE INDUCTION MOTOR 30KW,40HP,1472RPM",4,5
EL1348,"3-PHASE INDUCTION MOTOR 45KW,60HP,1450RPM",4,5
ME01189,300 MM DIA. BRAKE DRUM FOR AH OF 25/10 TON,3,4
